survey_version,in_pot_or_ground ,country,region,latitude,longitude,final_height_(cm),alive,number_of_stems,start_year,start_height (cm),watering,fertiliser, 
LONG,pot,England,UK,52.09559369,1.312182137,89,Yes,2,2015,30.48,YESWATER,,Potting mix
LONG,pot,England,UK,52.11601026,-2.325225677,120,Yes,3,2010,40,YESWATER,No,Loamy
SHORT,ground,England,UK,52.12542758,-2.271166808,150,Yes,1,,,,,
LONG,pot,England,UK,52.16814725,-0.55356109,244,Yes,1,2013,NA,YESWATER,Yes,Potting mix
SHORT,ground,England,UK,52.19358076,0.128219332,320,Yes,3,,,,,
LONG,ground,England,UK,52.19408674,-2.223301146,203,Yes,1,2016,152.4,NOWATER,No,Silty
SHORT,ground,England,UK,52.19675979,0.122510691,160,Yes,1,,,,,
SHORT,ground,England,UK,52.19675979,0.122510691,180,Yes,1,,,,,
SHORT,ground,England,UK,52.19675979,0.122510691,260,Yes,2,,,,,
SHORT,ground,England,UK,52.20494616,0.122588627,229,Yes,1,,,,,
SHORT,ground,England,UK,52.22251562,0.656010409,220,Yes,1,,,,,
LONG,ground,Ireland,UK,52.25827496,-7.111480268,600,Yes,,2010,17.5,NOWATER,Yes,Loamy
LONG,pot,ireland,UK,52.25965242,-7.110033987,40,Yes,1,,,,,
LONG,ground,Ireland,UK,52.26091942,-7.022918044,400,Yes,1,,,,,
LONG,ground,Netherlands,Europe,52.27655658,4.8366239,350,Yes,1,1998,80,NOWATER,No,Potting mix
LONG,ground,Wales,UK,52.29264485,-3.900960879,150,No,1,,,NOWATER,No,
LONG,ground,Ireland,UK,52.32129769,-6.93336035,610,Yes,3,,,YESWATER,No,Loamy
LONG,ground,Ireland,UK,52.32138415,-6.933920956,590,Yes,4,2005,,YESWATER,No,Loamy
LONG,ground,Ireland,UK,52.32138415,-6.933920956,620,Yes,,2005,,YESWATER,No,Loamy
LONG,ground,Ireland,UK,52.32138415,-6.933920956,690,Yes,1,2005,,YESWATER,No,Loamy
LONG,ground,Ireland,UK,52.32138415,-6.933920956,740,Yes,5,2005,,YESWATER,No,Loamy
LONG,ground,England,UK,52.34878883,-0.538177621,254,Yes,2,,,YESWATER,No,
LONG,ground,England ,UK,52.35754779,-2.044990412,182,Yes,1,2015,60,NOWATER,Yes,
LONG,pot,England,UK,52.37110425,-1.265181829,250,Yes,1,2008,15.24,YESWATER,No,
LONG,pot,England ,UK,52.37564582,1.10955034,206,Yes,1,2015,50,YESWATER,Yes,Potting mix
SHORT,ground,Netherlands,Europe,52.37685858,4.891285727,203,Unsure,,,,,,
LONG,ground,England,UK,52.38851299,-0.687094362,183,Yes,1,2012,91.44,YESWATER,Yes,Clay
SHORT,ground,England,UK,52.46649902,-1.931504413,250,Yes,1,,,,,
LONG,ground,England ,UK,52.4669016,-1.930758642,270,Yes,5,2006,30,YESWATER,No,Clay
SHORT,ground,England,UK,52.46729906,-1.931504116,152,Yes,,,,,,
